DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
150;1948-01-01;Cast Iron;"{""coordinates"": [[-123.0521050925143, 49.248788325907064], [-123.05207596256268, 49.24878824908877]], ""type"": ""LineString""}";49.24878828749792, -123.0520905275385
150;1951-01-01;Cast Iron;"{""coordinates"": [[-123.06075906051268, 49.216167040966496], [-123.06077183123274, 49.21527137427851]], ""type"": ""LineString""}";49.2157192076225, -123.0607654458727
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.05540308072105, 49.23884626484813], [-123.0554038666863, 49.238787462566904]], ""type"": ""LineString""}";49.23881686370751, -123.05540347370368
200;1955-01-01;Cast Iron;"{""coordinates"": [[-123.21171852673247, 49.27365158048218], [-123.21171849208488, 49.273643484868316]], ""type"": ""LineString""}";49.27364753267525, -123.21171850940868
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.21177604957965, 49.27229082542084], [-123.2117764927946, 49.272275541765076]], ""type"": ""LineString""}";49.27228318359296, -123.21177627118712
200;1966-01-01;Cast Iron;"{""coordinates"": [[-123.21173626926512, 49.27362141406063], [-123.2117618502326, 49.273013741585714]], ""type"": ""LineString""}";49.27331757782317, -123.21174905974885
200;1987-01-01;Ductile Iron;"{""coordinates"": [[-123.2117618502326, 49.273013741585714], [-123.21176213368807, 49.27300609514788]], ""type"": ""LineString""}";49.273009918366796, -123.21176199196034
150;;Cast Iron;"{""coordinates"": [[-123.06762558750768, 49.27562619953173], [-123.06763830540231, 49.27493320293032]], ""type"": ""LineString""}";49.27527970123103, -123.06763194645501
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.06034035285047, 49.24989198150152], [-123.06033876347993, 49.24994082640804]], ""type"": ""LineString""}";49.24991640395479, -123.0603395581652
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.06035830406528, 49.24985158356009], [-123.06034035285047, 49.24989198150152]], ""type"": ""LineString""}";49.249871782530796, -123.06034932845787
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.06033876347993, 49.24994082640804], [-123.06030150713305, 49.24992546402363]], ""type"": ""LineString""}";49.24993314521583, -123.06032013530648
200;1966-01-01;Cast Iron;"{""coordinates"": [[-123.21177925750214, 49.272423624660256], [-123.21177603036294, 49.272308815854366]], ""type"": ""LineString""}";49.27236622025731, -123.21177764393255
200;;Cast Iron;"{""coordinates"": [[-123.05968676879793, 49.2747448710474], [-123.05796554716207, 49.27472642567195]], ""type"": ""LineString""}";49.27473564835969, -123.05882615798001
200;;Cast Iron;"{""coordinates"": [[-123.0616129255338, 49.274760555093906], [-123.05989627290981, 49.274747101385664]], ""type"": ""LineString""}";49.27475382823978, -123.06075459922181
200;;Cast Iron;"{""coordinates"": [[-123.06182215405457, 49.274762152424145], [-123.06164647028038, 49.274760807057746]], ""type"": ""LineString""}";49.27476147974094, -123.06173431216749
200;1966-01-01;Cast Iron;"{""coordinates"": [[-123.05980997775279, 49.281295530546586], [-123.05981010534873, 49.2812873448697]], ""type"": ""LineString""}";49.28129143770815, -123.05981004155076
200;1966-01-01;Cast Iron;"{""coordinates"": [[-123.05981010534873, 49.2812873448697], [-123.05981071762373, 49.28124790070256]], ""type"": ""LineString""}";49.28126762278613, -123.05981041148623
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.0565843024084, 49.244710147070975], [-123.05658551205619, 49.24466256169084]], ""type"": ""LineString""}";49.2446863543809, -123.05658490723229
200;1961-01-01;Cast Iron;"{""coordinates"": [[-123.05658551205619, 49.24466256169084], [-123.0565887004374, 49.24453104980655]], ""type"": ""LineString""}";49.24459680574869, -123.05658710624681
200;1931-01-01;Cast Iron;"{""coordinates"": [[-123.06217725973515, 49.2180391749782], [-123.06221845677484, 49.218040052323246]], ""type"": ""LineString""}";49.21803961365072, -123.06219785825499
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.14665460911289, 49.228902051824655], [-123.14649250053131, 49.22889928907531]], ""type"": ""LineString""}";49.22890067044999, -123.14657355482211
300;1966-01-01;Cast Iron;"{""coordinates"": [[-123.14944440849358, 49.219544016484036], [-123.14819258338287, 49.21952336592617]], ""type"": ""LineString""}";49.2195336912051, -123.14881849593823
150;1925-01-01;Cast Iron;"{""coordinates"": [[-123.15969099013506, 49.239381131319895], [-123.15968686878279, 49.239381137016764]], ""type"": ""LineString""}";49.239381134168326, -123.15968892945894
150;1967-01-01;Cast Iron;"{""coordinates"": [[-123.05671414723395, 49.23742257202394], [-123.05652594470163, 49.23742186368744]], ""type"": ""LineString""}";49.23742221785568, -123.05662004596779
650;;<blank>;"{""coordinates"": [[-123.05780534157559, 49.25083657994914], [-123.0587732789885, 49.25073445455877]], ""type"": ""LineString""}";49.25078551725395, -123.05828931028205
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.0660813937429, 49.25685572873213], [-123.06614461092224, 49.25685614231841]], ""type"": ""LineString""}";49.256855935525266, -123.06611300233257
150;1955-01-01;Cast Iron;"{""coordinates"": [[-123.05012264812547, 49.22593484835252], [-123.04828430636813, 49.225924810072534]], ""type"": ""LineString""}";49.225929829212525, -123.0492034772468
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.04774860461653, 49.22656549544428], [-123.04776989301106, 49.22656566654814]], ""type"": ""LineString""}";49.22656558099621, -123.0477592488138
150;1973-01-01;Cast Iron;"{""coordinates"": [[-123.07295715459817, 49.22908602023498], [-123.07296467806725, 49.229074429589886]], ""type"": ""LineString""}";49.22908022491244, -123.0729609163327
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.06247267189578, 49.22030223553214], [-123.06192406163717, 49.22029714276209]], ""type"": ""LineString""}";49.22029968914711, -123.06219836676647
150;;Cast Iron;"{""coordinates"": [[-123.19383607501074, 49.26090089300416], [-123.19385325580276, 49.26090113403562]], ""type"": ""LineString""}";49.26090101351989, -123.19384466540676
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.05747064723002, 49.257936151402234], [-123.05748247042011, 49.25793974360583]], ""type"": ""LineString""}";49.25793794750403, -123.05747655882507
300;1952-01-01;Steel;"{""coordinates"": [[-123.05652227246799, 49.25834994028874], [-123.05651487247552, 49.2578871491981]], ""type"": ""LineString""}";49.25811854474342, -123.05651857247176
400;1931-01-01;Steel;"{""coordinates"": [[-123.04077491511984, 49.229074948555876], [-123.04076894507861, 49.229180815854455]], ""type"": ""LineString""}";49.22912788220516, -123.04077193009923
150;1945-01-01;Cast Iron;"{""coordinates"": [[-123.19576283085361, 49.240554046755584], [-123.19536921895933, 49.240551114974025]], ""type"": ""LineString""}";49.24055258086481, -123.19556602490647
150;1964-01-01;Cast Iron;"{""coordinates"": [[-123.0646281480525, 49.27384828012277], [-123.06460770692048, 49.27472298361952]], ""type"": ""LineString""}";49.274285631871145, -123.0646179274865
300;1951-01-01;Cast Iron;"{""coordinates"": [[-123.07403501752597, 49.21099716279335], [-123.07403322225606, 49.21108216940694]], ""type"": ""LineString""}";49.21103966610015, -123.07403411989102
150;1951-01-01;Cast Iron;"{""coordinates"": [[-123.0630672315131, 49.251640150280636], [-123.06316035251696, 49.25149717430653]], ""type"": ""LineString""}";49.25156866229358, -123.06311379201505
150;1927-01-01;Cast Iron;"{""coordinates"": [[-123.21215504062275, 49.25928724020076], [-123.2121426708597, 49.25928708300959]], ""type"": ""LineString""}";49.25928716160517, -123.21214885574122
150;1966-01-01;Cast Iron;"{""coordinates"": [[-123.15067140775744, 49.219560575018924], [-123.15067243932303, 49.21953852624898]], ""type"": ""LineString""}";49.21954955063396, -123.15067192354023
150;1927-01-01;Cast Iron;"{""coordinates"": [[-123.15187658599841, 49.221597919895736], [-123.1512795699459, 49.22060727109546]], ""type"": ""LineString""}";49.221102595495594, -123.15157807797213
800;1940-01-01;Steel;"{""coordinates"": [[-123.15535756894165, 49.238349933097176], [-123.15535760279843, 49.23836072734934]], ""type"": ""LineString""}";49.23835533022325, -123.15535758587004
300;1957-01-01;Cast Iron;"{""coordinates"": [[-123.15532330967044, 49.23837696490798], [-123.15533979474877, 49.23837694274263]], ""type"": ""LineString""}";49.23837695382531, -123.1553315522096
200;1965-01-01;Cast Iron;"{""coordinates"": [[-123.04924878750158, 49.27493598275175], [-123.04921976588909, 49.274935905165826]], ""type"": ""LineString""}";49.27493594395879, -123.04923427669533
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.05692477034758, 49.23973133156046], [-123.05685223367473, 49.23973126833203]], ""type"": ""LineString""}";49.23973129994624, -123.05688850201116
800;;Steel;"{""coordinates"": [[-123.07432935706713, 49.273112388198925], [-123.07452341609837, 49.27311417917629]], ""type"": ""LineString""}";49.27311328368761, -123.07442638658276
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.05907643373406, 49.249398436978154], [-123.0580202154706, 49.248964511772286]], ""type"": ""LineString""}";49.24918147437522, -123.05854832460233
150;;Cast Iron;"{""coordinates"": [[-123.06541422219557, 49.275694360792336], [-123.06376119052445, 49.275681908941856]], ""type"": ""LineString""}";49.275688134867096, -123.06458770636
300;1931-01-01;Cast Iron;"{""coordinates"": [[-123.03889350426766, 49.25818533905872], [-123.03822339760373, 49.25819509761938], [-123.03818546668292, 49.258195200114]], ""type"": ""LineString""}";49.25819048245121, -123.03853948731276
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.1600799284773, 49.22909961948217], [-123.160073747692, 49.22909536429241]], ""type"": ""LineString""}";49.22909749188729, -123.16007683808465
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.16008613679178, 49.22910389262401], [-123.1600799284773, 49.22909961948217]], ""type"": ""LineString""}";49.22910175605309, -123.16008303263453
150;1964-01-01;Cast Iron;"{""coordinates"": [[-123.16219664848128, 49.270804014942], [-123.16221782763499, 49.270136055756915]], ""type"": ""LineString""}";49.27047003534946, -123.16220723805812
150;1964-01-01;Cast Iron;"{""coordinates"": [[-123.16224686668293, 49.26934160394719], [-123.16225001588337, 49.26925397728074]], ""type"": ""LineString""}";49.26929779061397, -123.16224844128315
300;1963-01-01;Cast Iron;"{""coordinates"": [[-123.15512357142397, 49.22602573702561], [-123.15515757429664, 49.22509925970652]], ""type"": ""LineString""}";49.22556249836606, -123.1551405728603
300;1928-01-01;Cast Iron;"{""coordinates"": [[-123.16338031384167, 49.244935491364856], [-123.16335386331495, 49.244914030148436], [-123.16332796122879, 49.244892217336236], [-123.1633028823109, 49.24487003454981], [-123.16327862659045, 49.24484749078492], [-123.16325505696989, 49.244824676188145], [-123.16323217285561, 49.24480141085602], [-123.1632101122336, 49.24477787449875], [-123.16318887510303, 49.24475406711681], [-123.16316844772376, 49.244729988730036], [-123.16314871988408, 49.244705549542175], [-123.16312981553344, 49.24468083933085], [-123.16311187236023, 49.24465594785455], [-123.16309461528107, 49.24463078554962], [-123.16307831908095, 49.24460535202847], [-123.16306270897306, 49.244579647679366], [-123.1630480600382, 49.244553762066765], [-123.16303423488239, 49.24452769538491], [-123.16302123350445, 49.24450144763406], [-123.16300919329578, 49.24447501862069], [-123.16297531531714, 49.244400837704475]], ""type"": ""LineString""}";49.24468623413408, -123.16315389580667
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.0589383004702, 49.23486557611027], [-123.05875218429895, 49.23486693024917]], ""type"": ""LineString""}";49.23486625317972, -123.05884524238458
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.0590147294038, 49.25213477083163], [-123.05905936201991, 49.25206602452535]], ""type"": ""LineString""}";49.2521003976785, -123.05903704571186
150;1983-01-01;Cast Iron;"{""coordinates"": [[-123.06021825007923, 49.25027452220154], [-123.06024912717096, 49.250241673531114]], ""type"": ""LineString""}";49.25025809786633, -123.06023368862509
200;;Cast Iron;"{""coordinates"": [[-123.0620601835333, 49.27120182764384], [-123.06191747726673, 49.271200653872334]], ""type"": ""LineString""}";49.27120124075809, -123.06198883040001
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.03038391880685, 49.22257702946716], [-123.0305113625947, 49.22244214780961]], ""type"": ""LineString""}";49.222509588638395, -123.03044764070076
150;1958-01-01;Cast Iron;"{""coordinates"": [[-123.07377515389462, 49.25775548696529], [-123.07358272942659, 49.257740326807316]], ""type"": ""LineString""}";49.2577479068863, -123.0736789416606
300;;Cast Iron;"{""coordinates"": [[-123.06485834770126, 49.251404113475424], [-123.06485299946542, 49.25141239208345]], ""type"": ""LineString""}";49.25140825277944, -123.06485567358334
300;;Cast Iron;"{""coordinates"": [[-123.06502940972368, 49.25118246495466], [-123.06504315111991, 49.25118263712378]], ""type"": ""LineString""}";49.25118255103922, -123.0650362804218
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.06490634444935, 49.25132969602083], [-123.06481479496105, 49.25130447083806]], ""type"": ""LineString""}";49.25131708342944, -123.0648605697052
200;1961-01-01;Cast Iron;"{""coordinates"": [[-123.06667691211638, 49.250349377651744], [-123.06593660660342, 49.25034004271016]], ""type"": ""LineString""}";49.25034471018096, -123.06630675935989
200;1961-01-01;Cast Iron;"{""coordinates"": [[-123.06590281714, 49.25033966619959], [-123.06509459309571, 49.250332316549056]], ""type"": ""LineString""}";49.25033599137432, -123.06549870511785
300;;Cast Iron;"{""coordinates"": [[-123.03653804074662, 49.25819871925828], [-123.03622968648472, 49.25819878937635]], ""type"": ""LineString""}";49.25819875431732, -123.03638386361567
150;1927-01-01;Cast Iron;"{""coordinates"": [[-123.03911069776387, 49.24875448831817], [-123.03672974165084, 49.24873181025148]], ""type"": ""LineString""}";49.24874314928482, -123.03792021970735
150;1966-01-01;Cast Iron;"{""coordinates"": [[-123.05480814369045, 49.28865162641305], [-123.0548080947566, 49.28865710449181]], ""type"": ""LineString""}";49.28865436545244, -123.05480811922352
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.05629426111665, 49.2886618771007], [-123.0562228901338, 49.28866164199269]], ""type"": ""LineString""}";49.2886617595467, -123.05625857562522
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.05464576151091, 49.28966870558998], [-123.05453196497396, 49.28966882231336]], ""type"": ""LineString""}";49.28966876395167, -123.05458886324243
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.05474080038663, 49.28966848070468], [-123.05464576151091, 49.28966870558998]], ""type"": ""LineString""}";49.28966859314732, -123.05469328094877
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.05241421390515, 49.23943028142801], [-123.05239445711311, 49.23945466749604]], ""type"": ""LineString""}";49.239442474462024, -123.05240433550912
200;;Cast Iron;"{""coordinates"": [[-123.06551880098905, 49.2712294314635], [-123.06387705555893, 49.27121870195905]], ""type"": ""LineString""}";49.27122406671128, -123.064697928274
150;1981-01-01;Ductile Iron;"{""coordinates"": [[-123.06179033095967, 49.2756669412663], [-123.06162836405657, 49.27566528269985]], ""type"": ""LineString""}";49.275666111983064, -123.06170934750813
150;1988-01-01;Ductile Iron;"{""coordinates"": [[-123.07887144452917, 49.27025349346], [-123.07883307444067, 49.27063076909746]], ""type"": ""LineString""}";49.27044213127873, -123.07885225948492
150;;Cast Iron;"{""coordinates"": [[-123.03693866609937, 49.26843651078183], [-123.03662215030742, 49.26843474053567]], ""type"": ""LineString""}";49.26843562565875, -123.0367804082034
150;1926-01-01;Cast Iron;"{""coordinates"": [[-123.04160763803087, 49.26381663514905], [-123.03922325920041, 49.263807511498165]], ""type"": ""LineString""}";49.26381207332361, -123.04041544861566
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.07546259430376, 49.236807366018425], [-123.07547152346335, 49.236807360185395]], ""type"": ""LineString""}";49.23680736310191, -123.07546705888356
